원작_웹툰,웹툰_플랫폼,웹툰_평균_좋아요수,웹툰_평균_댓글수,웹툰_회차,완결여부,작가_파워,종류,범주화된_장르,OSMU_사전제작여부,배우1_파워,배우2_파워,감독파워,배1 싱점,배2 싱점,기사수,흥행여부
저녁 같이 드실래요?,0,13118,645,47,1,-1.22,1,4,0,-1.72,-1.3,-0.96,35,105,1097,0
계약우정,0,1658,73,98,1,0,1,4,0,-0.14,-0.13,-0.33,86,54,1653,0
어서와,1,2142,129,42,1,-0.77,1,4,1,-0.76,-0.37,-1.09,46,29,753,0
쌍갑포차,0,7903,305,135,0,0,1,1,1,-1.83,-1.53,-1.29,90,12,1144,1
이태원 클라쓰,0,15286,573,83,1,-1.06,1,5,1,-1.49,-0.86,-0.95,109,23,2289,1
메모리스트,0,3232,99,58,1,-0.09,1,2,1,-1.54,-1.68,-1.22,8,45,1077,1
어쩌다 발견한 7월,0,8880,302,22,1,-0.24,1,3,0,-0.47,-0.22,-2.2,12,82,1236,0
녹두전,1,15312,3363,135,1,-0.82,1,4,0,-0.41,-2.58,-0.51,18,21,1464,1
동네변호사 조들호,1,3581,3969,60,1,-0.26,1,5,0,-1.33,-1.93,-0.94,85,64,1016,1
쌉니다 천리마마트,1,15752,1200,158,1,-2.3,1,1,0,-1.05,-1.38,-1.03,29,50,1776,0
타인은 지옥이다,1,52476,9114,88,1,-1.13,1,2,0,-1.09,-1.13,-0.15,102,1,2083,0
빙의,0,9365,6110,27,1,-0.43,1,5,1,-0.79,-1.29,-1.51,71,18,2852,0
좋아하면 울리는,0,15338,875,162,0,-1.63,1,4,1,-1.96,-0.51,-0.66,9,14,1255,1
죽어도 좋아,0,16555,1012,61,1,-1.15,1,1,0,-1.33,-1.22,-0.74,25,82,1523,0
참치와 돌고래,1,15481,2055,53,1,-0.49,1,4,1,-0.27,-0.82,-0.1,77,105,241,0
내 ID는 강남미인!,1,51202,11300,80,1,-0.03,1,5,0,-0.54,-0.27,-2.06,36,51,2241,1
탁구공,0,2650,110,8,1,-0.6,1,5,1,-1.42,-0.64,0,84,106,492,1
계룡선녀전,1,24501,3884,54,1,-0.61,1,3,1,-1.32,-0.63,-2.62,96,20,1709,1
은주의 방,1,5985,4271,181,0,-2.02,1,5,0,-0.73,-0.48,0,82,74,521,0
파라다이스,0,906,146,26,1,-1.24,1,4,0,-1.34,-0.97,-0.64,61,59,1352,1
마음의 소리,1,17921,9712,1146,0,-2.4,1,1,1,-0.6,-1.21,-2.17,26,52,1259,1
한번 더 해요,1,37562,9456,76,0,-0.02,1,4,0,-2.16,-1.28,-0.36,84,93,1866,1
세상 밖으로,0,4305,234,61,1,-0.77,1,2,1,-0.8,-0.45,-1.32,6,104,1934,0
멜로홀릭,1,472,3408,72,1,-0.61,1,4,1,-1.97,-0.78,-1.12,76,38,657,0
부암동 복수자 소셜클럽,0,9171,218,96,1,-0.07,1,5,0,-1.48,-3.57,-1.07,98,99,1396,1
오늘도 형제는 평화롭다,1,25601,3166,35,0,-0.13,2,1,1,-0.02,-0.2,0,68,48,10,1
썸남,1,6827,2666,70,1,-0.04,2,1,0,-1.11,-0.45,-0.58,63,74,10,1
손의 흔적,1,3712,2527,57,1,-0.71,2,5,0,-0.33,-0.23,-0.3,66,55,34,0
마음의 소리,1,15812,9712,951,0,-1.28,2,1,1,-1.13,-0.64,-0.72,3,47,20,1
우리집에 사는 남자,0,10741,225,60,1,-0.73,1,4,0,-1.5,-1.05,-1.72,106,108,2232,0
운빨로맨스,1,5766,2913,41,1,-0.72,1,4,0,-1.68,-0.81,-0.95,72,39,1996,0
동네변호사 조들호,1,2398,958,155,1,-0.14,1,5,0,-1.22,-1.27,-2.07,85,94,2816,1
싸우자귀신아,1,1386,11606,116,1,-0.41,1,5,0,-0.74,-2.11,-1.4,6,4,1840,0
질풍기획,1,3055,5134,157,1,-0.58,2,1,0,-1.2,-0.68,0,92,32,18,0
게임회사 여직원들,0,10347,434,116,1,-0.08,2,3,0,-0.61,-0.06,-2.13,76,17,66,0
치즈인더트랩,1,15102,1159,221,0,-0.18,1,5,0,-1.02,-1.23,-1.58,70,94,4675,1
오렌지 마말레이드,1,4682,10816,119,1,-0.36,1,3,1,-1.29,-0.14,-1.75,12,64,2643,0
지킬박사는 하이드씨!,0,2231,146,60,1,-1.08,1,4,0,-1.26,-2.09,-1.25,87,65,3788,0
라스트,0,3362,156,40,1,-0.49,1,6,1,-1.13,-3.39,-2.41,14,106,4916,0
송곳,1,8064,4611,58,0,-0.36,1,5,0,-0.98,-3.47,-1.29,102,86,2462,0
슈퍼대디 열,0,5577,621,20,1,-0.11,1,5,0,-0.93,-1.28,-0.9,99,74,1805,0
아부쟁이,1,770,1094,146,1,-0.47,2,5,0,-0.32,-0.41,-0.67,4,100,15,1
도대체 무슨 일이야,0,3440,145,28,1,-0.07,2,3,0,0,-0.65,-1.69,66,58,1340,0
연애세포,1,472,2678,84,1,-0.53,2,3,0,-1.67,-0.76,-1.64,83,55,1050,1
우리 헤어졌어요,1,19799,7300,29,0,-0.43,2,5,0,-0.28,-0.24,-1.53,18,102,178,1
프린스의 왕자,1,15822,6389,34,0,-0.4,2,4,0,-0.13,-0.13,-1.29,8,29,140,1
호구의 사랑,0,5964,332,63,1,-0.49,1,4,0,-0.62,-0.66,-2.56,54,63,6685,0
닥터 프로스트,1,1322,4009,122,1,-0.13,1,2,0,-0.93,-0.87,-0.11,89,66,1497,0
연애세포,1,472,2678,84,1,-0.53,2,3,0,-1.52,-0.07,-1.49,83,32,483,1
후유증,1,2576,6115,53,1,-1.22,2,3,0,-0.3,0,-1.31,60,90,196,1
미생,0,9369,869,145,1,-6.02,1,5,1,-0.54,-2.56,-1.59,102,77,2384,1
나는 매일 그를 훔쳐본다,0,1812,268,54,1,-0.05,1,5,1,-1,-0.66,-1.65,108,12,3728,0
그대를 사랑합니다,0,1110,2005,30,1,-2.1,1,5,0,-5.91,-3.09,-1.38,30,100,526,1
0.0MHz,0,9680,717,21,1,-0.31,3,2,1,-1.1,-0.36,-1.7,87,98,804,0
26년,0,3598,2043,34,1,-1.98,3,6,1,-0.78,-1.33,-2.02,30,79,2761,1
스틸레인,0,1242,220,68,1,-0.28,3,6,1,-1.46,-1.84,-1.2,35,24,3758,1
스틸레인,0,1053,92,45,1,-0.28,3,6,1,-1.79,-1.92,-1.38,35,24,2966,0
순정만화,0,751,211,45,1,-1.16,3,4,1,-0.74,-0.45,-0.82,56,83,1056,0
그대를 사랑합니다,0,1110,2005,30,1,-2.22,3,5,1,-5.57,-1.33,-0.96,30,32,556,1
더 파이브,0,4952,250,52,0,-1.32,3,2,1,-1.58,-0.81,-0.76,92,67,4256,0
바보,0,369,615,41,1,-1.28,3,5,1,-1.35,-1.87,-1.39,29,34,1393,0
발광하는 현대사,0,3407,644,24,1,-2.61,3,5,1,-0.48,-0.32,-3.28,55,66,12,0
시동,0,9745,294,45,1,-1.17,3,5,1,-1.85,-1.53,-1.65,36,4,13398,1
신과함께,1,28012,2943,213,1,-4.02,3,3,1,-2.26,-1.52,-1.66,78,73,5689,1
신과함께,1,28012,2943,213,1,-4.02,3,3,1,-2.21,-3.51,-1.62,78,31,2887,1
아내를 죽였다,0,231,74,13,1,-0.69,3,2,1,-1.2,-4.43,-0.95,65,54,1647,1
아파트,0,1904,245,31,1,-0.93,3,2,1,-0.78,-1.2,-0.39,66,77,689,0
여중생A,1,19258,4551,123,1,-0.36,3,5,1,-0.53,-0.24,-0.65,83,56,3624,0
은밀하게 위대하게,0,8779,1783,67,1,-2.55,3,6,1,-1.22,-0.85,-1.3,86,53,4454,1
이끼,0,6149,8071,80,1,-4.36,3,2,1,-0.8,-1.48,-3.88,45,27,1261,1
이웃 사람,0,3023,1282,32,1,-2.48,3,2,1,-0.95,-1.04,-1.03,66,36,4313,1
전설의 주먹,0,3798,328,40,1,-0.11,3,6,1,-1.37,-2.91,-4.75,104,51,2662,0
치즈인더 트랩,1,15102,1159,312,1,-1.82,3,5,1,-1.35,-1.63,-1.53,70,86,4303,0
패션왕,1,9046,11400,95,1,-0.63,3,5,1,-0.82,-0.7,-0.42,59,16,4405,0
해치지않아,0,5002,479,50,1,-3.05,3,1,1,-1.21,-1.37,-1.91,61,94,3468,0
만찢남녀,1,6739,335,41,0,-0.55,2,4,1,-0.1,-0.19,-0.96,79,104,458,1
소녀의 세계,1,37288,8341,214,0,-0.63,2,5,1,-0.07,-0.04,-0.33,101,105,3144,1
